From Node,To Node,Road Name,Baseline Flow,Capacity,V/C Ratio
villa - 1,villa - 6,Osmena St,0.0,2800,0.0
villa - 1,villa - 4,Yulo Dr,0.0,2800,0.0
villa - 1,villa - 2,Jocson St,0.0,2800,0.0
villa - 2,villa - 1,Jocson St (Rev),0.0,2800,0.0
villa - 2,villa - 3,Circumferential Rd 1,629.7,2800,0.225
villa - 2,mandurriao - 8,Iloilo Circumferential Rd 1,634.2,2800,0.227
villa - 3,villa - 4,Quezon St,0.0,2800,0.0
villa - 3,villa - 2,Circumferential Rd 1 (Rev),629.7,2800,0.225
villa - 3,Molo - 3,Molo - Arevalo Connect (Rev),2162.3,2800,0.772
villa - 4,villa - 1,Yulo Dr (Rev),0.0,2800,0.0
villa - 4,villa - 3,Quezon St (Rev),0.0,2800,0.0
villa - 5,Molo - 6,Molo Blvd (Rev),0.0,2800,0.0
villa - 6,villa - 1,Osmena St (Rev),0.0,2800,0.0
villa - 6,villa - 7,Pakiad Rd (Rev),0.0,1400,0.0
villa - 7,villa - 6,Pakiad Rd,0.0,1400,0.0
Molo - 3,villa - 3,Molo - Arevalo Connect,2162.3,2800,0.772
Molo - 3,Molo - 4,Locsin St,0.0,2800,0.0
Molo - 3,mandurriao - 6,New Carpenter Bridge,545.9,1400,0.39
Molo - 4,Molo - 3,Locsin St (Rev),0.0,2800,0.0
Molo - 4,Molo - 5,Locsin St,0.0,2800,0.0
Molo - 4,Molo - 9,M.H Del Pilar,0.0,2800,0.0
Molo - 5,Molo - 4,Locsin St (Rev),0.0,2800,0.0
Molo - 5,Molo - 6,Locsin St,0.0,2800,0.0
Molo - 5,Proper - 2,Timawa St,0.0,2800,0.0
Molo - 6,Molo - 5,Locsin St (Rev),0.0,2800,0.0
Molo - 6,villa - 5,Molo Blvd,0.0,2800,0.0
Molo - 6,Proper - 4,Molo Blvd 2,0.0,2800,0.0
Molo - 7,Molo - 8,Rotunda,0.0,2800,0.0
Molo - 8,Molo - 3,San Marcos St,0.0,5600,0.0
Molo - 8,Molo - 9,M.H Del Pilar,0.0,1400,0.0
Molo - 9,Molo - 4,M.H Del Pilar (Rev),0.0,2800,0.0
Molo - 9,Molo - 10,M.H Del Pilar,0.0,5600,0.0
Molo - 10,Proper - 1,Molo - Proper Connect,0.0,2800,0.0
Molo - 10,Molo - 7,M.H Del Pilar,0.0,1400,0.0
